46 22 48 45 25 23,46 22 48 45 25 23,0
45 25 23 47 2 22,45 25 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 25 23,46 22 24 46 22 48,8
6 25 23 15 22 24,6 25 23 15 22 24,0
15 22 24 46 13 16,15 22 24 1 2 11,5
46 13 16 46 13 18,1 2 11 4 11 5,9
46 22 48 45 25 23,46 22 48 45 25 23,0
45 25 23 47 2 22,45 25 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 25 23,46 22 24 46 22 48,8
6 25 23 15 22 24,6 25 23 15 22 24,0
15 22 24 46 13 16,15 22 24 1 2 11,5
46 13 16 46 13 18,1 2 11 4 11 5,9
46 22 48 45 25 23,46 22 48 45 25 23,0
45 25 23 47 2 22,45 25 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 25 23,46 22 24 46 22 48,8
6 25 23 15 22 24,6 25 23 15 22 24,0
15 22 24 46 13 16,15 22 24 1 2 11,5
46 13 16 46 13 18,1 2 11 4 11 5,9
46 13 18 47 2 17,46 13 18 47 2 17,0
47 2 17 46 13 21,47 2 17 46 13 21,0
46 13 21 47 2 19,46 13 21 47 2 19,0
47 2 19 45 11 14,47 2 19 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
47 2 13 45 11 14,47 2 13 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
46 22 48 45 10 23,46 22 48 45 10 23,0
45 10 23 47 2 22,45 10 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 10 23,1 2 22 6 10 23,0
6 10 23 15 22 24,6 10 23 15 22 24,0
15 22 24 46 28 30,15 22 24 45 36 37,4
46 28 30 1 2 28,45 36 37 6 36 37,9
45 10 12 47 2 11,45 10 12 47 2 11,0
47 2 11 46 13 16,47 2 11 46 11 2,3
46 13 16 46 13 18,46 11 2 45 10 12,6
46 13 18 47 2 17,46 13 18 47 2 17,0
47 2 17 46 13 21,47 2 17 1 2 33,6
46 13 21 47 2 19,1 2 33 4 33 5,11
47 2 19 45 11 14,47 2 19 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
47 2 13 45 11 14,47 2 13 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
46 22 48 45 10 23,46 22 48 45 10 23,0
45 10 23 47 2 22,45 10 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 10 23,1 2 22 6 10 23,0
6 10 23 15 22 24,6 10 23 15 22 24,0
15 22 24 46 28 30,15 22 24 45 36 37,4
46 28 30 1 2 28,45 36 37 6 36 37,9
45 10 12 47 2 11,45 10 12 47 2 11,0
47 2 11 46 13 16,47 2 11 46 11 2,3
46 13 16 46 13 18,46 11 2 45 10 12,6
46 13 18 47 2 17,46 13 18 47 2 17,0
47 2 17 46 13 21,47 2 17 1 2 33,6
46 13 21 47 2 19,1 2 33 4 33 5,11
47 2 19 45 11 14,47 2 19 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
47 2 13 45 11 14,47 2 13 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
46 22 48 45 10 23,46 22 48 45 10 23,0
45 10 23 47 2 22,45 10 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 10 23,1 2 22 6 10 23,0
6 10 23 15 22 24,6 10 23 15 22 24,0
15 22 24 46 28 30,15 22 24 45 36 37,4
46 28 30 1 2 28,45 36 37 6 36 37,9
45 10 12 47 2 11,45 10 12 47 2 11,0
47 2 11 46 13 16,47 2 11 46 11 2,3
46 13 16 46 13 18,46 11 2 45 10 12,6
46 13 18 47 2 17,46 13 18 47 2 17,0
47 2 17 46 13 21,47 2 17 1 2 33,6
46 13 21 47 2 19,1 2 33 4 33 5,11
47 2 19 45 11 14,47 2 19 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
47 2 13 45 11 14,47 2 13 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
46 22 48 45 10 23,46 22 48 45 10 23,0
45 10 23 47 2 22,45 10 23 47 2 22,0
47 2 22 1 2 22,47 2 22 1 2 22,0
1 2 22 6 10 23,1 2 22 6 10 23,0
6 10 23 15 22 24,6 10 23 15 22 24,0
15 22 24 46 28 30,15 22 24 45 36 37,4
46 28 30 1 2 28,45 36 37 6 36 37,9
45 10 12 47 2 11,45 10 12 47 2 11,0
47 2 11 46 13 16,47 2 11 46 11 2,3
46 13 16 46 13 18,46 11 2 45 10 12,6
46 13 18 47 2 17,46 13 18 47 2 17,0
47 2 17 46 13 21,47 2 17 1 2 33,6
46 13 21 47 2 19,1 2 33 4 33 5,11
47 2 19 45 11 14,47 2 19 45 11 14,0
45 11 14 47 2 13,45 11 14 47 2 13,0
